"","MOI","virus","dilution","plaque.count","pfus","norm","dil.log","moi.log"
"1",1,"Lytic",0.01,821,410500,5.61331316145546,-2,0
"2",1,"Lytic",0.001,154,770000,5.88649072517248,-3,0
"3",1,"Lytic",1e-04,27,1350000,6.13033376849501,-4,0
"4",1,"Lytic",1e-05,2,1e+06,6,-5,0
"8",1,"WT",0.001,707,3535000,6.54838941813292,-3,0
"9",1,"WT",1e-04,139,6950000,6.84198480459011,-4,0
"10",1,"WT",1e-05,12,6e+06,6.77815125038364,-5,0
"15",1e-04,"Lytic",1e-04,529,52900000,7.72345567203519,-4,-4
"16",1e-04,"Lytic",1e-05,80,8e+07,7.90308998699194,-5,-4
"17",1e-04,"Lytic",1e-06,2,2e+07,7.30102999566398,-6,-4
"21",1e-06,"WT",1e-05,105,1.05e+08,8.02118929906994,-5,-6
"22",1e-06,"WT",1e-06,4,4e+07,7.60205999132796,-6,-6
"27",1e-04,"WT",1e-05,99,9.9e+07,7.99563519459755,-5,-4
"28",1e-04,"WT",1e-06,1,1e+07,7,-6,-4
"34",1e-05,"WT",1e-06,61,6.1e+08,8.78532983501077,-6,-5
"35",1e-05,"WT",1e-07,9,9e+08,8.95424250943933,-7,-5
"37",0.01,"Lytic",0.001,203,2030000,6.30749603791321,-3,-2
"38",0.01,"Lytic",1e-04,22,2200000,6.34242268082221,-4,-2
"39",0.01,"Lytic",1e-05,1,1e+06,6,-5,-2
"40",0.01,"Lytic",1e-06,1,1e+07,7,-6,-2
"44",0.001,"Lytic",1e-04,34,3400000,6.53147891704226,-4,-3
"45",0.001,"Lytic",1e-05,4,4e+06,6.60205999132796,-5,-3
"46",0.001,"Lytic",1e-06,1,1e+07,7,-6,-3
"50",1e-05,"Lytic",1e-04,34,3400000,6.53147891704226,-4,-5
"51",1e-05,"Lytic",1e-05,4,4e+06,6.60205999132796,-5,-5
"52",1e-05,"Lytic",1e-06,1,1e+07,7,-6,-5
"55",1,"Lytic",1e-04,83,8300000,6.91907809237607,-4,0
"56",1,"Lytic",1e-05,15,1.5e+07,7.17609125905568,-5,0
"60",0.1,"Lytic",1e-04,123,12300000,7.0899051114394,-4,-1
"61",0.1,"Lytic",1e-05,109,1.09e+08,8.03742649794062,-5,-1
"62",0.1,"Lytic",1e-06,43,4.3e+08,8.63346845557959,-6,-1
"63",0.1,"Lytic",1e-07,30,3e+09,9.47712125471966,-7,-1
"66",1e-05,"Lytic",1e-05,134,1.34e+08,8.12710479836481,-5,-5
"67",1e-05,"Lytic",1e-06,9,9e+07,7.95424250943933,-6,-5
"68",1e-05,"Lytic",1e-07,4,4e+08,8.60205999132796,-7,-5
"71",1e-06,"Lytic",1e-05,125,1.25e+08,8.09691001300806,-5,-6
"72",1e-06,"Lytic",1e-06,44,4.4e+08,8.64345267648619,-6,-6
"73",1e-06,"Lytic",1e-07,30,3e+09,9.47712125471966,-7,-6
"77",0.001,"WT",1e-06,104,1.04e+09,9.01703333929878,-6,-3
"78",0.001,"WT",1e-07,71,7.1e+09,9.85125834871907,-7,-3
"82",0.01,"WT",1e-06,216,2.16e+09,9.33445375115093,-6,-2
"83",0.01,"WT",1e-07,81,8.1e+09,9.90848501887865,-7,-2
"87",0.1,"WT",1e-06,152,1.52e+09,9.18184358794477,-6,-1
"88",0.1,"WT",1e-07,118,1.18e+10,10.0718820073061,-7,-1
"92",1,"WT",1e-06,148,1.48e+09,9.17026171539496,-6,0
"93",1,"WT",1e-07,129,1.29e+10,10.1105897102992,-7,0
