MOI ,virus,dilution ,plaque count
1.00E-04,Lytic,1.00E-02,TNTC
1.00E-04,Lytic,1.00E-03,TNTC
1.00E-04,Lytic,1.00E-04,529
1.00E-04,Lytic,1.00E-05,80
1.00E-04,Lytic,1.00E-06,2
1.00E-06,WT,1.00E-02,TNTC
1.00E-06,WT,1.00E-03,TNTC
1.00E-06,WT,1.00E-04,TNTC
1.00E-06,WT,1.00E-05,105
1.00E-06,WT,1.00E-06,4
1.00E-06,WT,1.00E-07,0
1.00E-04,WT,1.00E-02,TNTC
1.00E-04,WT,1.00E-03,TNTC
1.00E-04,WT,1.00E-04,TNTC
1.00E-04,WT,1.00E-05,99
1.00E-04,WT,1.00E-06,1
1.00E-04,WT,1.00E-07,0
1.00E-05,WT,1.00E-02,TNTC
1.00E-05,WT,1.00E-03,TNTC
1.00E-05,WT,1.00E-04,TNTC
1.00E-05,WT,1.00E-05,TNTC
1.00E-05,WT,1.00E-06,61
1.00E-05,WT,1.00E-07,9
1.00E-02,Lytic,1.00E-02,TNTC
1.00E-02,Lytic,1.00E-03,203
1.00E-02,Lytic,1.00E-04,22
1.00E-02,Lytic,1.00E-05,1
1.00E-02,Lytic,1.00E-06,1
1.00E-02,Lytic,1.00E-07,0
1.00E-03,Lytic,1.00E-02,TNTC
1.00E-03,Lytic,1.00E-03,TNTC
1.00E-03,Lytic,1.00E-04,34
1.00E-03,Lytic,1.00E-05,4
1.00E-03,Lytic,1.00E-06,1
1.00E-03,Lytic,1.00E-07,0
